Dimension,beta_l1.x1,beta_l2.x2,beta_l1.l2,beta_x1.x2,corR1R2,corL1L2,kappa,group
3,-6.55,-26,0.72,2.03,0.996889474,-0.066332559,0.434090909,1
3,4.03,2,0.79,1.16,0.91228368,0.066329397,0.507583524,2
3,4.59,-24,0.46,3.97,0.999044611,-0.392108273,0.491158311,3
3,-1.22,-5,-0.64,4.8,0.999186025,-0.045469407,0.73570289,5
3,-1.39,-2,-0.38,1.69,0.911631636,0.078453829,0.70234837,6
3,-8.43,53,-0.99,0.54,0.999482937,-0.456369814,0.720000532,7
3,-1.6,17,-0.26,1.91,0.998898278,0.470688225,0.708224266,8
3,-4,-33,-0.98,3.23,0.999969948,-0.043438995,0.857594664,11
3,0.14,-2,-0.1,2.14,0.999474231,0.17088289,0.858690092,12
3,-1.02,-26,-0.83,3.04,0.999973533,0.478294429,0.854658385,13
4,6.55,32,0.64,4.19,0.999338242,-3.43E-08,0.418184131,1
4,-3.48,3,0.1,2.89,0.923271529,0.024907924,0.505993741,2
4,5.25,30,-0.36,3.55,0.998905671,-0.343158906,0.500928079,3
4,0.23,-17,-0.19,4.89,0.999996315,-0.07681187,0.755792338,5
4,-1.96,-4,0.1,2.49,0.982058442,0.015957541,0.70560437,6
4,1.53,-24,-0.04,4.44,0.999897221,-0.485873615,0.730418639,7
4,-1.76,26,0.39,1.17,0.998517896,0.489749996,0.704622432,8
4,-0.57,14,0.23,1.95,0.99979163,-0.139742277,0.883173885,11
4,0.41,-2,-0.27,1.45,0.991512637,0.116230895,0.844637379,12
4,2.42,-35,-0.92,2.22,0.999929601,0.494615635,0.855590647,13
5,49.78,-48,-0.12,-0.45,-0.301482122,-5.79E-08,0.416316307,1
5,3.78,2,0.64,1.58,0.887003705,0.064035789,0.519105186,2
5,3.82,-36,-0.2,3.35,0.999524798,-0.398834736,0.501121534,3
5,0.93,18,-0.36,4.52,0.999942671,-0.118535244,0.755868347,5
5,2.46,-3,-0.9,3.95,0.997106072,0.08848002,0.713768608,6
5,1.62,-32,0.71,4.61,0.999969628,-0.405383164,0.707625721,7
5,-2.38,-16,0.42,1.78,0.997326668,0.425880687,0.703558871,8
5,0.76,18,0.31,3.66,0.999940287,-6.87E-07,0.828038989,11
5,-0.49,-2,-0.53,2.38,0.995764521,0.164747842,0.867210025,12
5,0.16,27,0.24,0.74,0.9999699,0.49763817,0.861331923,13
