N,File,r,Scenario,rhoR1R1True,runNo
50,GZ_cellProbabilities3x3_Group1.csv,3,1,-0.066332559,1
50,GZ_cellProbabilities3x3_Group2.csv,3,2,0.066329397,2
50,GZ_cellProbabilities3x3_Group3.csv,3,3,-0.392108273,3
50,GZ_cellProbabilities3x3_Group5.csv,3,5,-0.045469407,4
50,GZ_cellProbabilities3x3_Group6.csv,3,6,0.078453829,5
50,GZ_cellProbabilities3x3_Group7.csv,3,7,-0.456369814,6
50,GZ_cellProbabilities3x3_Group8.csv,3,8,0.470688225,7
50,GZ_cellProbabilities3x3_Group11.csv,3,11,-0.043438995,8
50,GZ_cellProbabilities3x3_Group12.csv,3,12,0.17088289,9
50,GZ_cellProbabilities3x3_Group13.csv,3,13,0.478294429,10
50,GZ_cellProbabilities4x4_Group1.csv,4,1,-3.43E-08,11
50,GZ_cellProbabilities4x4_Group2.csv,4,2,0.024907924,12
50,GZ_cellProbabilities4x4_Group3.csv,4,3,-0.343158906,13
50,GZ_cellProbabilities4x4_Group5.csv,4,5,-0.07681187,14
50,GZ_cellProbabilities4x4_Group6.csv,4,6,0.015957541,15
50,GZ_cellProbabilities4x4_Group7.csv,4,7,-0.485873615,16
50,GZ_cellProbabilities4x4_Group8.csv,4,8,0.489749996,17
50,GZ_cellProbabilities4x4_Group11.csv,4,11,-0.139742277,18
50,GZ_cellProbabilities4x4_Group12.csv,4,12,0.116230895,19
50,GZ_cellProbabilities4x4_Group13.csv,4,13,0.494615635,20
50,GZ_cellProbabilities5x5_Group1.csv,5,1,-5.79E-08,21
50,GZ_cellProbabilities5x5_Group2.csv,5,2,0.064035789,22
50,GZ_cellProbabilities5x5_Group3.csv,5,3,-0.398834736,23
50,GZ_cellProbabilities5x5_Group5.csv,5,5,-0.118535244,24
50,GZ_cellProbabilities5x5_Group6.csv,5,6,0.08848002,25
50,GZ_cellProbabilities5x5_Group7.csv,5,7,-0.405383164,26
